iter	Passed	Remaining
0	3	366
1	6	297
2	9	315
3	11	278
4	13	260
5	16	253
6	18	239
7	20	232
8	22	228
9	24	220
10	26	214
11	28	210
12	30	204
13	32	201
14	34	196
15	36	193
16	38	189
17	40	185
18	42	182
19	44	178
20	46	175
21	48	171
22	50	169
23	52	166
24	54	163
25	56	160
26	58	157
27	60	154
28	62	152
29	64	150
30	66	148
31	68	145
32	70	142
33	72	140
34	74	137
35	76	135
36	78	133
37	80	131
38	82	129
39	84	126
40	86	124
41	87	120
42	89	118
43	92	117
44	94	115
45	98	115
46	100	113
47	103	112
48	105	109
49	108	108
50	113	109
51	117	108
52	121	107
53	126	107
54	128	104
55	130	102
56	133	100
57	136	98
58	139	96
59	142	95
60	150	95
61	155	95
62	160	93
63	163	91
64	167	90
65	171	88
66	174	86
67	176	83
68	178	80
69	180	77
70	183	74
71	184	71
72	186	68
73	188	66
74	190	63
75	191	60
76	193	57
77	194	54
78	196	52
79	197	49
80	199	46
81	200	44
82	202	41
83	204	38
84	206	36
85	207	33
86	208	31
87	210	28
88	211	26
89	213	23
90	214	21
91	216	18
92	218	16
93	220	14
94	222	11
95	223	9
96	225	6
97	226	4
98	228	2
99	229	0
